,formula,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Poisson ratio,Acoustic Debye Temperature (K),Kappa_cal (W m-1 K-1)
mp-753304,Hg1,1,12.170355875663605,27.36939828,200.59,14.622464816195684,1.9098093030384955,396.1351348016211,1187.7343277648283,0.4374205123995583,44.52471379356023,0.037607893084064
mp-1060967,Ag1Br1,2,6.660571780689001,46.81430366,187.772,48.89333200193106,8.454482099538478,1126.646697379306,3005.520691547169,0.4182533547397684,105.61812667554442,0.3738543782655667
mp-726265,Ag1Cl1,2,5.877307994876709,40.49399533,143.321,58.42666524199276,8.080022843518028,1172.511387342417,3431.341266549386,0.433900343380019,115.60260391471414,0.2833544555652455
mp-1009490,O2,2,1.435249348676009,37.02156081,31.998,9.007733594495132,1.0782991966525317,866.7741715964203,2697.7408467639857,0.4424426170801556,88.14823174437605,0.0236979636284113
mp-22919,Ag1I1,2,6.642341958339573,58.69273108,234.772,35.68791935032667,6.757415726710557,1008.62494340136,2594.0747887418825,0.4109469419998851,87.60222392555164,0.3171535719716807
mp-611836,O2,2,1.5367813215724513,34.57562263,31.998,9.32959942975339,1.1535610067908124,866.3916279948941,2659.2697893434392,0.440624522105158,90.11894708515564,0.0255156831421065
mp-684580,Ag1I1,2,5.320431414735625,73.27548462,234.772,25.32464423790846,5.746067775382894,1039.2306516074,2489.957016276942,0.3945288593797413,83.6367004696947,0.3633910720612777
mp-2352325,H1Br1,2,2.0962147629719268,64.09680911,80.91199999999999,6.499180243561669,1.811742932082754,929.6733897756238,2062.238201832691,0.3724680547158686,77.99639395677299,0.1229567648870473
mp-23167,Tl1Cl1,2,7.04757215065201,56.51114287,239.836,17.00456116948278,7.329466590731905,1019.803315145005,1949.2281753469151,0.3115597140811165,88.50491288670919,0.8436293671791095
mp-22408,Co1O1,2,5.451995030863682,22.82291548,74.932,165.58185256920282,21.373661460536557,1979.984258388999,5966.4051654378345,0.4381213994681014,236.4595586694988,0.9791655324109116
mp-569639,Tl1Cl1,2,5.967024109530104,66.74455296,239.836,17.788808744447568,5.451879124741102,955.8598346874356,2049.246210847811,0.3609647347483852,78.99455559059926,0.4282864643328247
mp-32880,Cu1Br1,2,5.134872719652747,46.39061376,143.45,48.7156835117568,11.781222474536472,1514.712945375895,3542.0846394442287,0.3881021531166408,141.8430471777856,0.9998484051010208
mp-1057286,Cs1H1,2,3.4211152520929797,65.00013867,133.913,7.425370384148195,3.738041464338997,1045.2933913691695,1904.5482888614813,0.2844610862745927,86.28647070792614,0.5438489054926028
mp-10013,Sn1S1,2,3.596270662002963,69.62035218,150.77499999999998,17.61294449198311,5.61699027711801,1249.7572102374186,2641.9845206919395,0.355865765380906,101.77039862119508,0.6114376882722853
mp-1184554,Hg2,2,11.697233813249335,56.9528356,401.18,11.59121271279018,2.233150950510743,436.9356238448607,1116.0136843908206,0.4094834621366126,38.32416139734858,0.0457831218041977
mp-22913,Cu1Br1,2,5.264174336489518,45.25114136,143.45,51.02401612284622,11.978696254150153,1508.4803055727125,3567.4512305614494,0.3911362416310163,142.4946614372885,0.9719343326698712
mp-610917,O2,2,1.4650325449548465,36.26893561,31.998,8.674185918638143,1.119875591081393,874.3015598084048,2634.391538612604,0.4381111720844287,89.47490674427019,0.0264406018120495
mp-22914,Cu1Cl1,2,4.280133919572172,38.40897335,98.999,58.73172246586537,8.751018920710136,1429.883427150337,4055.6164177949095,0.4290251470312912,143.39215518808695,0.3954811428144968
mp-1228677,Au1Cl1,2,5.719232409746821,67.48309624,232.42,4.619160575015258,1.249922421235015,467.490356648859,1048.355974313552,0.3758963741422056,38.57161270481193,0.0419888242548145
mp-975272,Hg2,2,11.736240124494238,56.7635484,401.18,11.850327410147056,2.327988288127372,445.3750685785532,1128.8044747633492,0.4078121082916109,39.0988581001902,0.0496114198131527
mp-23197,Tl1I1,2,7.226281845069909,76.12875837,331.28700000000003,9.064041436491284,3.846326722042206,729.5677665707163,1401.4307820582394,0.3141179765315917,57.3484507634213,0.3440017886991849
mp-12103,N2,2,0.6240596703962258,74.54323836,28.014,1.386210717396236,0.9368298782805028,1225.2291137746058,2054.9600883512985,0.2242164088324383,95.94142174980152,0.2234358402375715
mp-22925,Ag1I1,2,5.513429201122185,70.71047366,234.772,26.464427082523148,5.916827191097551,1035.9374694299906,2496.17358911802,0.3959649571536167,84.38445211168924,0.3627322228951609
mp-571102,Tl1I1,2,6.301211091870291,87.3051,331.28700000000003,10.749441451435468,4.259631212705577,822.1933994279267,1614.7038695162855,0.3249848089321175,61.83208784324424,0.4174367641048987
mp-568560,Tl1Br1,2,6.3233997101887365,74.65615424,284.28700000000003,15.000726545640337,6.052992604820166,978.3849288595744,1910.1237310970669,0.322163191140757,77.49030754411406,0.6832531390276348
mp-866291,Ag1Br1,2,5.133807623160158,60.73660191,187.772,33.82932238034268,3.195203194682023,788.9136049634652,2723.851159371863,0.4542160905458545,68.12474525757739,0.0614390733817566
mp-1225654,Cu1Cl1,2,4.20773732270006,39.06982234,98.999,59.29253271840285,8.629380216363096,1432.0741064324766,4101.9213466110505,0.4305973940623465,142.8271709478625,0.3838207628159561
mp-634105,H1Br1,2,2.331556003986956,57.62704275,80.91199999999999,5.297761029372236,2.3311925624926504,999.922057274617,1898.7694093545203,0.3081267790208243,86.17768755549895,0.2707102329688255
mp-23231,Ag1Br1,2,6.44449468291111,48.3839378,187.772,41.62927355067408,9.901961216362745,1239.5560678154488,2916.904209009801,0.3898066187313276,114.48675127339897,0.6848484716470886
mp-22922,Ag1Cl1,2,5.582745430312224,42.63058122,143.321,46.84348210969937,8.800929054677304,1255.5683155471909,3239.243219264304,0.4115966517546033,121.32543189235666,0.4584308972240732
mp-730522,H1Br1,2,2.331556005200738,57.62704272,80.91199999999999,5.307339636499458,2.3287143148794254,999.3904163779512,1899.4779002813536,0.3086065129891118,86.13716584301812,0.2694548860143408
mp-30033,Co1Br2,3,4.667941157355127,77.81513392,218.741,12.382385270677974,5.451791581144292,1080.7044404314818,2051.797570838068,0.308030764322923,84.26573917438652,0.5044979876720656
mp-28233,Mn1Cl2,3,2.918140792692563,71.61195354,125.844,10.932714292813966,5.75262492724004,1404.0413834107394,2524.858136469024,0.276166912307561,112.10312528836587,0.8099227477024964
mp-7988,Cs2O1,3,4.577921077856644,102.2223372,281.809,4.834806538851789,2.219855382294868,696.3509789550498,1304.8576859840596,0.3009012005799224,49.53174200284174,0.1515428684694295
