,Number of Atoms,Density (g cm-3),Volume (Å3),the total atomic mass (amu),Bulk modulus (GPa),Shear modulus (GPa),Sound velocity of the transverse wave (m s-1),Sound velocity of the longitude wave (m s-1),Speed of sound (m s-1),Poisson ratio,Grüneisen parameter,Acoustic Debye Temperature (K),Kappa_Slack (W m-1 K-1),Reduced Formula,Elements,NSites,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
Ag3Te4V1,8,5.452747866948336,269.50113767,884.9459999999999,41.685897538561946,13.084910135009208,1549.0936150333273,3293.102189929204,1743.5316689541164,0.3579195352360981,2.1990804075558983,80.36239096800571,0.763596639212145,VAg3Te4,"['V', 'Ag', 'Te']",8.0,-43m,P-43m,215.0,cubic,-33.198,-0.3804,-0.0133,3D,0.4344,True,0.0,-0.0133,-0.0114
Al8S20Sn8,36,3.388712964538908,885.40750656,1806.836,24.36656603745533,13.247777645128036,1977.2160309466524,3521.791943358646,2200.279378691524,0.2698639561450364,1.6001200627834602,68.21920263592008,0.6304285064016802,Al2Sn2S5,"['Al', 'S', 'Sn']",36.0,mm2,Pna2_1,33.0,orthorhombic,-183.8324,-1.0851,-0.0236,3D,1.7419,True,0.0,-0.0236,-0.0236
Br10Nd3Ni1Sm1Tb2,17,4.835777740592689,603.91462031,1758.663,16.57445542894669,7.849776423769598,1274.0764191636742,2364.7040477847104,1422.3036406243195,0.2954833785114087,1.7450723400692765,50.0968421234393,0.3747472684618811,Tb2Nd3SmNiBr10,"['Ni', 'Br', 'Nd', 'Sm', 'Tb']",17.0,1,P1,1.0,triclinic,-82.7764,-1.9021,-0.0311,3D,0.3613,True,0.0,-0.0311,-0.0189
Br18Hf1Ta2Zr1,22,3.62586802912076,947.96618026,2069.882,4.191864134276808,1.0626008714229966,541.3511795000074,1243.7232852680977,611.4021816686345,0.3831295850496922,2.4390629563545745,18.52987884896165,0.0096745162486472,HfZr(TaBr9)2,"['Br', 'Zr', 'Hf', 'Ta']",22.0,m,Pm,6.0,monoclinic,-106.8343,-1.5977,-0.02,0D,2.0309,True,0.0,-0.02,-0.0029
Br18Cs2Nb4,24,3.831426777917493,899.63130475,2075.706,8.508132537976673,2.3682357587887304,786.1984840745829,1744.9244575122632,886.656866225042,0.3726418696035498,2.3342280707516165,27.34495872148439,0.0308879626997945,CsNb2Br9,"['Br', 'Nb', 'Cs']",24.0,2/m,P2/c,13.0,monoclinic,-107.0207,-1.4733,-0.0252,intercalated ion,0.5334,True,0.0,-0.0252,-0.0028
Er1I12Pt1Sr1Tb5,20,5.705431889675738,805.46628798,2767.43,11.735446336494814,9.133332834519166,1265.2326179419897,2047.2684722452448,1395.4605659949218,0.1910216363355538,1.252006812208721,44.65241879163782,0.805935989445159,SrTb5ErPtI12,"['Sr', 'I', 'Tb', 'Er', 'Pt']",20.0,1,P1,1.0,triclinic,-85.829,-1.602,-0.0209,intercalated ion,0.7806,True,0.0,-0.0209,-0.011
C4Hg2Na4O12,22,3.3611255871668577,362.22663351,733.172,26.070365075918264,9.003007360163291,1636.6334854814093,3365.689290767239,1838.8921092524567,0.3451567964409033,2.091937015022802,76.80202417674559,0.2470215238961445,Na2Hg(CO3)2,"['C', 'O', 'Na', 'Hg']",22.0,mm2,Fdd2,43.0,orthorhombic,-141.1387,-1.77,-0.0371,intercalated ion,2.2881,True,0.0,-0.0371,-0.026
Ag1Cs2Cu1Hf1Te4,9,5.7287694937454745,326.42262916,1126.114,22.86596373353641,8.11092920976812,1189.8840184308692,2424.7045265666457,1336.259740705216,0.3413951127189243,2.061961915265469,57.779530450024026,0.3936117418039931,Cs2HfCuAgTe4,"['Cu', 'Ag', 'Te', 'Cs', 'Hf']",9.0,222,C222,21.0,orthorhombic,-39.7964,-0.9493,-0.0967,intercalated ion,1.5031,True,0.0,-0.0967,-0.0258
Al1Cs4Ga3H8,16,3.4607849990329105,372.26653512,775.835,18.50524689279699,8.520013966020917,1569.03576644719,2937.6217854192187,1752.6721354711528,0.3004236692454342,1.7753563595780626,72.53693933961583,0.437050296272359,Cs4AlGa3H8,"['H', 'Al', 'Ga', 'Cs']",16.0,m,Pm,6.0,monoclinic,-48.391,-0.3024,-0.0478,intercalated ion,1.1999,False,0.0,-0.0478,-0.0273
Al1As6In1Rb12,20,3.5756885191345007,750.92337303,1616.948,22.946305251564592,11.07516960346844,1759.9298314567432,3247.632216150997,1963.8516808743148,0.2921173178577101,1.724895960928196,64.32602092461926,0.6838784567979352,Rb12AlInAs6,"['Al', 'As', 'Rb', 'In']",20.0,m,Pm,6.0,monoclinic,-53.7024,-0.3742,-0.0789,intercalated ion,0.1375,True,0.0,-0.0789,-0.0052
